id,title,course,contributor,resource_type,release_tier,public_url_status,visibility,payload_state,local_onedrive_path,public_url_to_fill,public_link_released_at_to_fill,next_action
ibms3-yiru-1-8c2915c2,IBMS3 Yiru Pre-Exam Review.pdf,IBMS3,Yiru,individual_file,core,released,public_after_review,ready for review,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_pre_exam_review.pdf,,,released
ifbs2-yue-ifbs-theme3-48a20e78,IFBS2 Yue Theme 3 Digestion and Absorption.pdf,IFBS2,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4/IFBS2_Yue_theme3_digestion_and_absorption.pdf,,,released
ifbs2-yue-ifbs-theme3-1-3bc9175b,IFBS2 Yue Theme 3 Digestive Organs 1.pdf,IFBS2,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4/IFBS2_Yue_theme3_digestive_organs_1.pdf,,,released
ifbs2-yue-ifbs-theme3-2-6639bdd9,IFBS2 Yue Theme 3 Digestive System 2.pdf,IFBS2,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4/IFBS2_Yue_theme3_digestive_system_2.pdf,,,released
ifbs2-yue-ifbs-theme4-0d594c28,IFBS2 Yue Theme 4 Incomplete.pdf,IFBS2,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4/IFBS2_Yue_theme4_incomplete.pdf,,,released
ifbs2-yue-ifbstheme34-tutorialquestion-46239494,IFBS2 Yue Theme 3-4 Tutorial Questions.pdf,IFBS2,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_4_tutorial_questions.pdf,,,released
iid-4-yiru-notebookllm-topic-1-60d3232b,IID4 Yiru NotebookLM Topic 1.pdf,IID_4,Yiru,individual_file,core,released,public_after_review,ready for review,COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes/IID4_Yiru_NotebookLM_topic_1.pdf,,,released
iid-4-yiru-notebookllm-topic-4-7a0936a8,IID4 Yiru NotebookLM Topic 4.pdf,IID_4,Yiru,individual_file,core,released,public_after_review,ready for review,COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes/IID4_Yiru_NotebookLM_topic_4.pdf,,,released
iid-4-yiru-notebookllm-topic-5-eva-f9009126,IID4 Yiru NotebookLM Topic 5 EVA.pdf,IID_4,Yiru,individual_file,core,released,public_after_review,ready for review,COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes/IID4_Yiru_NotebookLM_topic_5_EVA.pdf,,,released
iid-4-yiru-notebookllm-topic-3-b8bb3fde,IID4 Yiru NotebookLM Topic 3.pdf,IID_4,Yiru,individual_file,core,released,public_after_review,ready for review,COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes/IID4_Yiru_NotebookLM_topic_3.pdf,,,released
mi2-yue-mi-4b09c058,MI2 Yue Incomplete Notes.pdf,MI2,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year2/MI2/Yue/MI2_Yue_incomplete_notes.pdf,,,released
pon3-yue-pon-angelica-53f4930a,PoN3 Yue Angelica Notes.pdf,PoN3,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year3/PoN3/Yue/PoN3_Yue_notes/PoN3_Yue_Angelica_notes.pdf,,,released
pon3-yue-pon-gedi-dd612b53,PoN3 Yue Gedi Notes.pdf,PoN3,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year3/PoN3/Yue/PoN3_Yue_notes/PoN3_Yue_Gedi_notes.pdf,,,released
pon3-yue-pon-0a6b582c,PoN3 Yue Notes.pdf,PoN3,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year3/PoN3/Yue/PoN3_Yue_notes/PoN3_Yue_notes.pdf,,,released
pon3-yue-theme-ndd-375a6d7b,PoN3 Yue Neurodegenerative Disease Theme.pdf,PoN3,Yue,individual_file,core,released,public_after_review,ready for review,COURSES/Year3/PoN3/Yue/PoN3_Yue_notes/PoN3_Yue_neurodegenerative_disease_theme.pdf,,,released
